Date,Close,High,Low,Open,Volume,Ticker
2024-12-24,228.55458068847656,228.80220211934164,225.8307449489606,226.35570117330556,988300,DHR
2024-12-26,229.07952880859375,229.28753745315123,226.98960340148395,227.148084738898,1512400,DHR
2024-12-27,229.16880798339844,230.20011051649763,227.48300200869815,227.48300200869815,2130400,DHR
2024-12-30,227.7309112548828,228.63331042198604,225.6782171905269,227.55242269766845,2008000,DHR
2024-12-31,227.63174438476562,230.06126767664716,226.75909335501785,228.53414350586593,2077900,DHR
2025-01-02,227.88958740234375,229.91254859001344,226.65995916207277,228.92090510268326,2760600,DHR
2025-01-03,232.87754821777344,233.95843596557046,227.6416719211892,228.15733076091783,2381100,DHR
2025-01-06,236.20947265625,238.22250769946513,231.74707701993063,232.19331355730685,3674500,DHR
2025-01-07,237.10195922851562,241.1181031685067,236.0111453613091,236.0111453613091,2989300,DHR
2025-01-08,236.10040283203125,237.38954243858282,233.53204973817998,236.61606170090775,2527700,DHR
2025-01-10,233.1056365966797,236.7152182042781,232.54039255857694,233.58162122315463,2863300,DHR
2025-01-13,237.8754425048828,238.95633026512402,232.05448499583233,233.08580268716307,3301800,DHR
2025-01-14,235.6343231201172,240.12646695493277,230.1108767052872,239.15466056378546,4137600,DHR
2025-01-15,235.9813690185547,239.6702834880641,231.01324128634485,236.98292335398253,4128600,DHR
2025-01-16,239.8785400390625,240.08679181744998,232.63955509378107,235.73347775820335,3148900,DHR
2025-01-17,236.36813354492188,241.0189437503158,236.17971886825978,240.14629267157696,3075300,DHR
2025-01-21,242.07005310058594,242.44688240676308,237.00275509559228,237.94481322975884,2338100,DHR
2025-01-22,242.1394805908203,244.19218971253386,240.47352692503333,241.4056741514379,2049900,DHR
2025-01-23,243.6071319580078,243.79554663327445,239.77938766090497,242.8832213497436,2512100,DHR
2025-01-24,243.74595642089844,245.46149530608017,242.97247576139324,243.5476307625367,1911300,DHR
2025-01-27,248.4959259033203,248.66450347230267,244.4004487869514,245.451588411946,2748500,DHR
2025-01-28,245.76890563964844,256.07209546961053,245.12434345851597,255.51677756624508,4273700,DHR
2025-01-29,221.86038208007812,233.7700294508846,221.13648660731428,233.05604496523767,11407400,DHR
2025-01-30,221.21583557128906,227.07645233483484,219.49037042017957,223.1197892908172,6668000,DHR
2025-01-31,220.87867736816406,225.5988949537828,220.51175898600255,221.43399530396874,4785800,DHR
2025-02-03,212.46951293945312,218.10205541257395,212.24143919045088,216.17826476385446,5787800,DHR
