Ticker,PE_Ratio,PB_Ratio,EV_EBITDA,EPS,ROE,ROA,Profit_Margin,Operating_Margin,Revenue_Growth,Earnings_Growth,Debt_to_Equity,Current_Ratio,Quick_Ratio,Free_Cash_Flow,Operating_Cash_Flow,Dividend_Yield,Market_Cap,Total_Revenue,Total_Debt,Last_Close,52W_High,52W_Low,Price_SMA20_Ratio,Price_SMA50_Ratio,Price_SMA200_Ratio,Price_EMA12_Ratio,Price_EMA26_Ratio,RSI,MACD,MACD_Signal,MACD_Hist,BB_Bandwidth,BB_PctB,Volatility_20D,Volatility_Full,Momentum_10D,Return_1M,Return_3M,Return_6M,Return_12M,Volume_Ratio,ATR_Pct,Dist_52W_High,Dist_52W_Low,OBV_Slope
PEP,24.378336,9.934745,13.602,6.37,0.43879002,0.090909995,0.09149,0.16961999,0.085,0.278,244.837,0.897,0.667,8746250240.0,13100999680.0,3.66,212272250880.0,95448997888.0,52728000512.0,155.2899932861328,169.96153592478052,122.82982249830293,0.9967361253497105,0.9836282937746281,1.0513503491483704,0.998415835261832,0.9965998670758912,48.55040728737198,-0.28341277446554614,-0.3136688156047534,0.030256041139207268,0.03474669551581765,0.4060666172182123,0.18292474052119764,0.20405936550107154,0.002841376592023255,-0.009756497682867071,0.05506650585252746,0.03655778504209803,0.20746457692524448,0.7013460070769444,0.019982651627517476,0.08101726394477156,0.25737972383714197,-2307748.646616542
KO,24.801888,10.090839,22.226,3.18,0.43372002,0.09512,0.278,0.3495,0.121,0.182,122.824,1.358,0.782,3165499904.0,14631000064.0,2.61,339377618944.0,49284001792.0,43889999872.0,78.87000274658203,81.44001888827108,64.45102779330306,1.0324717704064368,1.0242679206166163,1.109084354602915,1.0294715059005612,1.0321354849920445,61.63593588407588,0.19773867871126072,-0.1089912869970105,0.3067299657082712,0.06122726927120302,1.0303481731743542,0.21932169844981392,0.1632319413744952,0.04727134913553112,0.03408950069426793,0.08694658787280547,0.14145148798961904,0.1304685731532483,1.3192307331528959,0.018597984884210442,0.02633257946424434,0.2177568835108494,-2459891.6541353473
COST,51.825115,26.789795,32.775,19.27,0.29650998,0.08718,0.029860001,0.036730003,0.215,0.455,60.257,1.058,0.54,6690375168.0,15011000320.0,0.59,443062484992.0,286265016320.0,10227999744.0,209.7750015258789,258.8100051879883,167.2595961298465,0.9959257042827947,1.0026511075373563,1.0528470485141828,0.9983786677879117,1.000445647224923,50.320071034098845,2.0666615552499934,2.6950303123751262,-0.6283687571251328,0.05896311975000955,0.43090094732979817,0.19104503596055253,0.20296347540858986,0.014135550048394263,0.0020971379964204975,0.04085669770833789,0.07700075248229639,0.026164605437160482,0.8581858137671083,0.017802077170540723,0.05110793129557083,0.1765109941470009,34162.105263158046
AVGO,78.72816,24.040915,52.973,5.15,0.33370999,0.10663,0.36571997,0.44943002,0.295,0.316,82.704,1.902,1.671,25503750144.0,29684000768.0,0.64,1919671336960.0,68281999360.0,66056998912.0,405.45001220703125,429.30999755859375,182.54096867254592,1.0660731631734348,1.1727142139566684,1.2009367086601221,1.014131500815607,1.074079809235697,64.1801508769391,22.314308098749507,-0.21133005130088195,0.9911489226467722,0.38379491834290314,0.672157472690666,0.414163767271748,0.5376837809571059,0.022005472271289513,0.3818547668672777,0.21924298529378025,0.1243693938776144,1.1236305012022938,0.7256877667370892,0.031881333819207366,0.04094521042373493,1.138071842044703,14519987.293233063
MCD,24.274477,6.23229275,17.824,11.95,0.245135,0.13508001,0.3185,0.45071,0.097,0.082,66.509,0.955,0.743,6296124928.0,10551000064.0,2.56,206196867072.0,26884999168.0,54829998080.0,290.0799865722656,339.8515172928989,278.63186715800936,0.9562535288563724,0.9209683310302749,0.9447214227536883,0.9699885560380042,0.9524254735457677,31.713160611595242,-5.514687340808507,-4.345986688519741,-1.1687006522887664,0.07960424586499884,-0.04954947023576444,0.1851201039391122,0.18297832124346544,-0.05283100201603742,-0.059799735131199475,-0.06745378396117294,-0.053384320941893125,-0.06319034875270314,1.130096753860189,0.01727570361745404,0.14472397755217176,0.033503334274198986,-364999.6240601523
WMT,46.890106,10.23998,24.639,2.73,0.21847,0.06834,0.0307,0.04567,0.056,-0.19,64.443,0.79,0.204,10554250240.0,41564999680.0,0.77,1020366487552.0,66730500096.0,68425998336.0,128.00999450683594,134.4141406494094,91.30200698383167,1.0070368681547044,1.0210739924964698,1.1462267811634128,1.0004141156634527,1.0097635526180877,53.63782453892325,1.1847585038953952,1.1397482568719681,0.04501024702342704,0.07144714023255425,0.5984905502417593,0.26068811395401564,0.23387499813047372,0.026049954432163853,0.036518174144420545,0.10039212291371132,0.23034535777707071,0.3562895125764061,1.0010895115265712,0.02087146905487709,0.04195454331590961,0.36694315615797224,6633510.60150375
BAC,13.154229,1.3676805,17.82,4.02,0.10644,0.00927,0.28956,0.35956,0.118,0.233,66.509,1.1465,0.7705,9033812480.0,14813499904.0,2.12,377029558272.0,109590003712.0,43889999872.0,52.880001068115234,57.226487784651276,37.96605872048864,1.0093529510711776,1.0504000114013412,1.038005576194103,1.0045268447868876,1.020044527313819,58.381961671641356,0.8008250330897866,0.9118950021562102,-0.11106996906642363,0.11174401208807386,0.5836997964938452,0.18527544349001732,0.2528692409690369,-0.02650954776876024,0.119627388961253,0.0264223029524707,0.008210022144411352,0.3592103971713249,0.7930560823502212,0.021517546122358622,0.07111023106025578,0.3558021132914757,12444153.007518766
CRM,23.263159,2.8465962,13.979,7.79,0.123959996,0.05179,0.17958,0.19239001,0.121,0.179,29.947,0.76,0.644,16366999552.0,14995999744.0,0.97,148247707648.0,41524998144.0,17710999552.0,181.22000122070312,293.856997988811,163.52000427246094,1.008528591110125,0.9713838708018067,0.7930898014442387,1.0028276387970245,0.9926288940042101,48.420274114286194,-1.8566910574083693,-2.712350159095517,0.8556591016871478,0.1413550969702097,0.5603345142334859,0.47456892694097697,0.3667361136300215,0.020382854689078987,-0.01814172336781947,-0.20304776787715412,-0.2877188163466037,-0.31270747940917687,0.5024617752937585,0.040817794458044905,0.37292667068860336,0.09856931283374552,2095403.3082706768
ACN,14.77541,3.5510814,8.73,12.2,0.24763,0.11163,0.10606,0.13819,0.083,0.04,25.469,1.336,1.2,12164313088.0,13080248320.0,3.62,110938333184.0,72110325760.0,8347366912.0,180.25999450683594,321.36384797080194,173.83999633789062,0.9525223848346875,0.9177745851014907,0.7524787848451342,0.9753738995968566,0.9467747145311851,38.2501169047735,-5.582583541750779,-4.778385397301083,-0.8041981444496962,0.16047641287272318,0.2041458347964956,0.4208148517016757,0.3033547949267268,-0.07082477058331992,-0.07978404034096893,-0.3277792344861131,-0.2750781237295785,-0.3769894274798613,1.0149611763216295,0.039307186284895844,0.434739517900357,0.018590683525112204,-1153635.8646616524
LIN,34.592873,6.119106,19.365,14.59,0.17817,0.07172,0.20297001,0.28172,0.058,-0.094,70.63,0.877,0.692,4786500096.0,10350000128.0,1.27,233879650304.0,33986000896.0,28068999168.0,504.7099914550781,515.6300048828125,386.48182728929964,1.006696872172004,1.017831422797196,1.099528736547694,1.0021876314493166,1.0106679260939644,55.03127510023351,4.2256675093357785,3.8055765114642366,0.4200909978715419,0.04640315196043714,0.6443193379991451,0.17692409027749503,0.1776293658481461,0.013595993453987492,0.010916119021853143,0.1216063587775947,0.14264267594303928,0.1417805282681231,0.7613824936017722,0.017820233884320358,0.011825763181442732,0.30054260255778126,-60410.827067670005
TMO,25.646864,3.284539,18.902,18.18,0.13523,0.04996,0.15151,0.17892,0.062,0.113,82.905,1.526,0.852,5511000064.0,8287000064.0,0.38,173272186880.0,45197000704.0,43161001984.0,466.260009765625,643.3539757198577,384.44484600055983,0.9339265211945121,0.9383706275190844,0.8873571941480988,0.9551999816353078,0.9418725862451226,36.544924202577825,-6.9069607594117315,-1.450654609954142,0.27814745857601253,0.1776044561859994,0.12797398092145157,0.4200985207562057,0.2849357468710083,-0.12302739527724003,-0.028726129315705673,-0.23239208835324013,-0.1715351459155626,0.11068423824274934,0.6977522463697005,0.034019723033849536,0.27012128905425187,0.19789678212808937,-208896.91729323257
CSCO,32.219425,7.4116673,22.697,2.78,0.23754999,0.06994,0.18756,0.24868,0.097,0.312,66.509,0.955,0.737,10129500160.0,13324999680.0,1.88,353791934464.0,59053998080.0,31740000256.0,89.56999969482422,90.44999694824219,55.18967668484735,1.0573035610235386,1.1068420960546188,1.2085342432305715,1.0292839349245348,1.0598599926709176,66.58556292136338,2.510500831086617,2.2349241367093855,0.2755766943772313,0.1767942311141408,0.8241257402032691,0.24641835496746597,0.2416454343313954,0.08754248459253235,0.16894277963610801,0.14051863150420546,0.26820613520366277,0.6120982213752308,0.8930864499567226,0.023887649812855925,0.002561284511327102,0.5980409632005795,6634430.4511278
ABT,25.582634,3.042508,13.54,3.57,0.245135,0.08571,0.13904999,0.16499001,0.078,-0.197,26.787,1.1465,0.7705,9033812480.0,14813499904.0,2.76,158702583808.0,45134000128.0,14136000512.0,91.33000183105469,136.2761117482488,90.72000122070312,0.937757391000877,0.8744854346717572,0.7633452942879384,0.9659096605510954,0.9300889637375995,31.483743843182893,-3.641551827843756,-3.403485287252402,-0.2380665405913538,0.17430104438136024,0.14290168644692733,0.30919499663139366,0.22145882226832977,-0.10072859367328162,-0.09792920494557722,-0.13339962102359826,-0.27371825211224854,-0.2805086755675635,0.744055715087739,0.026307763942489987,0.325060001903462,0.002194717257376163,-1234371.278195488
ADBE,14.185789,8.649503,10.322,17.17,0.58774,0.18905,0.29477,0.38762,0.12,0.111,58.34,0.912,0.789,9321374720.0,10506999808.0,2.19,98450997248.0,24452999168.0,6670000128.0,243.57000732421875,422.95001220703125,224.1300048828125,1.006749720165608,0.970285559553019,0.7722853893005327,1.0000979810126889,0.9925981430228702,48.49954227684207,-1.8401773558431387,-2.8489937951946,1.0088164393514614,0.10659365293971093,0.5633219706751726,0.4670637558743023,0.3433007485398889,-0.004455147231159113,0.010119032853634595,-0.1869616855548392,-0.3192565242200234,-0.3392382112999982,0.503191810438919,0.038195347052558504,0.42100881533498896,0.08085201121465103,-531011.9548872171
NKE,29.203947,4.6628146,17.82,1.52,0.16016,0.05195,0.04836,0.06942,0.001,-0.348,79.333,2.139,1.239,1313874944.0,1694000000.0,3.69,65736572928.0,46522998784.0,11178000384.0,44.38999938964844,78.72701901337247,42.09000015258789,0.9951241356978331,0.8509061893390325,0.6971345823673349,0.9808308650295366,0.9420311904760079,35.06216397404121,-1.8640339395562435,-2.3300485474777233,0.46601460792147975,0.1022893929963795,0.45233264995189215,0.6114453633221489,0.3939383950734319,-0.023107378274509285,-0.13368466167902213,-0.28205914761979384,-0.34436624979589925,-0.20600204562466268,0.45446811223112854,0.03141346118898716,0.42953528530265694,0.041529809998176785,4425212.330827066
DIS,14.918999,1.658508,11.704,6.79,0.12024,0.04366,0.128,0.15361,0.052,-0.043,40.909,0.669,0.545,3174500096.0,15630999552.0,1.48,179454967808.0,95715999744.0,46640001024.0,101.30000305175781,123.85203565522283,87.59131252721842,0.9994327304393572,1.0019009671395698,0.9259031867461108,0.9898005353189082,0.9969883989490959,48.85484754494933,0.7378558047011836,0.7755329789871024,-0.03767717428591877,0.1255498834939422,0.4954817197367596,0.20482173209954752,0.2770046893053531,-0.01688662508064212,0.07400342853602256,-0.0753924305485532,-0.0921720383172821,0.13598366077351062,0.7422511249179223,0.020441275244399867,0.17760354844136303,0.12785260168758344,2584056.315789477
